FlwID,PlatformID,Followers
1,1,539446645
2,1,473864939
3,1,364542529
4,1,355790796
5,1,341579063
6,1,333221596
7,1,328323322
8,1,326473270
9,1,272211534
10,1,267912338
11,1,253285832
12,1,252632221
13,1,236500488
14,1,233371786
15,1,221732794
16,1,220169794
17,1,211074078
18,1,201394982
19,1,194512673
20,1,180959274
21,1,176935982
22,1,169597869
23,1,151581146
24,1,150280418
25,1,138781881
26,1,135053892
27,1,130398630
28,1,124943799
29,1,123177126
30,1,119117889
31,1,117994690
32,1,111257233
33,1,105134435
34,1,96634213
35,1,85756579
36,1,85305143
37,1,82187552
38,1,81215401
39,1,80986405
40,1,80723426
41,1,78697857
42,1,76041310
43,1,75284700
44,1,75207736
45,1,74912255
46,1,73878089
47,1,73190174
48,1,72705315
49,1,70404564
50,1,69922564
51,1,69887832
52,1,68816270
53,1,68733032
54,1,68517743
55,1,68295084
56,1,67722305
57,1,67646939
58,1,67296368
59,1,66769961
60,1,66186703
61,1,66083072
62,1,65817755
63,1,64887038
64,1,63991832
65,1,63437657
66,1,63122857
67,1,62858032
68,1,62777257
69,1,62683010
70,1,62637438
71,1,61860116
72,1,61660597
73,1,59520626
74,1,59477707
75,1,58718833
76,1,58541952
77,1,58125945
78,1,57970008
79,1,57350069
80,1,56760930
81,1,55866652
82,1,55413300
83,1,55138512
84,1,55048835
85,1,54518260
86,1,54472637
87,1,54434089
88,1,54034924
89,1,53812411
90,1,53806580
91,1,53372896
92,1,53368184
93,1,53326932
94,1,53211167
95,1,52855261
96,1,52776655
97,1,52708281
98,1,52498150
99,1,52422831
100,1,52386780
1,4,132473746
2,4,114165664
3,4,108950737
4,4,106989611
5,4,102819963
6,4,102672739
7,4,90814615
8,4,84876972
9,4,81398641
10,4,77430041
11,4,75884044
12,4,73264301
13,4,66143411
14,4,63606552
15,4,63088413
16,4,62416599
17,4,60698510
18,4,60153943
19,4,57484730
20,4,55869666
21,4,54190632
22,4,53825679
23,4,53235721
24,4,51947180
25,4,51337983
26,4,50664033
27,4,49814762
28,4,49308402
29,4,47764001
30,4,46979565
31,4,46816418
32,4,45132749
33,4,44236663
34,4,43764644
35,4,43294761
36,4,43289835
37,4,43089932
38,4,42638106
39,4,41256634
40,4,41229434
41,4,40593716
42,4,40175615
43,4,39703326
44,4,38100188
45,4,37706985
46,4,37631088
47,4,37470813
48,4,36666230
49,4,36040239
50,4,35027433
51,4,34912026
52,4,34477634
53,4,34315514
54,4,33915351
55,4,32357505
56,4,32211336
57,4,32198251
58,4,31886135
59,4,31666168
60,4,31615951
61,4,31142763
62,4,31040206
63,4,30823235
64,4,30381411
65,4,30279252
66,4,30110837
67,4,29383091
68,4,28658991
69,4,28581073
70,4,28016531
71,4,27790361
72,4,27647371
73,4,27438545
74,4,26853411
75,4,26753615
76,4,26740551
77,4,26422157
78,4,26347317
79,4,26166689
80,4,26014305
81,4,25647776
82,4,25484080
83,4,25458860
84,4,24387765
85,4,24206586
86,4,24192262
87,4,23602810
88,4,23161825
89,4,22917667
90,4,22766501
91,4,22215023
92,4,22006755
93,4,21819632
94,4,21783674
95,4,21692707
96,4,21562782
97,4,21305498
98,4,21154455
99,4,20956217
100,4,20765073
1,5,222000000
2,5,140000000
3,5,139000000
4,5,111000000
5,5,101000000
6,5,99600000
7,5,99100000
8,5,90100000
9,5,86600000
10,5,84900000
11,5,77100000
12,5,76100000
13,5,73900000
14,5,70500000
15,5,69900000
16,5,69700000
17,5,67800000
18,5,65900000
19,5,63000000
20,5,61300000
21,5,59300000
22,5,58100000
23,5,57700000
24,5,57500000
25,5,55700000
26,5,55100000
27,5,53400000
28,5,53000000
29,5,52800000
30,5,52700000
31,5,52400000
32,5,52400000
33,5,52200000
34,5,51600000
35,5,49700000
36,5,47500000
37,5,47100000
38,5,46100000
39,5,45600000
40,5,45500000
41,5,45100000
42,5,44300000
43,5,43900000
44,5,43900000
45,5,43200000
46,5,43200000
47,5,42200000
48,5,41300000
49,5,41200000
50,5,40500000
51,5,40400000
52,5,39500000
53,5,39500000
54,5,39200000
55,5,38700000
56,5,38300000
57,5,37800000
58,5,37600000
59,5,37400000
60,5,37200000
61,5,37100000
62,5,36800000
63,5,36200000
64,5,36000000
65,5,35800000
66,5,35800000
67,5,35800000
68,5,35200000
69,5,35100000
70,5,33400000
71,5,33300000
72,5,33300000
73,5,33200000
74,5,33200000
75,5,33200000
76,5,33100000
77,5,32900000
78,5,32400000
79,5,32000000
80,5,31900000
81,5,31500000
82,5,31400000
83,5,30900000
84,5,30900000
85,5,30800000
86,5,30700000
87,5,30500000
88,5,29900000
89,5,29900000
90,5,29600000
91,5,29600000
92,5,29500000
93,5,29200000
94,5,29200000
95,5,29100000
96,5,28600000
97,5,28600000
98,5,28600000
99,5,28600000
100,5,28500000
1,3,18296006
2,3,13377575
3,3,12524137
4,3,11145556
5,3,10244388
6,3,9638800
7,3,8500996
8,3,7255104
9,3,6994697
10,3,6540633
11,3,6047516
12,3,5873745
13,3,5843207
14,3,5526988
15,3,5239020
16,3,5084551
17,3,5033525
18,3,4917815
19,3,4829346
20,3,4683364
21,3,4573443
22,3,4476022
23,3,4369464
24,3,4164752
25,3,4074041
26,3,4037168
27,3,4033548
28,3,3849438
29,3,3670790
30,3,3614934
31,3,3594823
32,3,3577250
33,3,3548355
34,3,3469785
35,3,3407910
36,3,3267875
37,3,3151328
38,3,3146988
39,3,3136512
40,3,3125548
41,3,3116086
42,3,3089706
43,3,3069669
44,3,3060175
45,3,3025471
46,3,2898083
47,3,2799824
48,3,2720743
49,3,2684804
50,3,2660844
51,3,2459116
52,3,2438304
53,3,2426822
54,3,2301844
55,3,2265402
56,3,2262351
57,3,2202177
58,3,2174515
59,3,2170294
60,3,2081314
61,3,2068579
62,3,2040771
63,3,2018898
64,3,1993853
65,3,1862400
66,3,1849885
67,3,1778366
68,3,1775388
69,3,1774208
70,3,1773486
71,3,1767491
72,3,1733508
73,3,1721229
74,3,1674112
75,3,1666421
76,3,1640757
77,3,1630378
78,3,1594992
79,3,1578033
80,3,1559591
81,3,1534189
82,3,1509304
83,3,1478896
84,3,1466343
85,3,1463690
86,3,1453278
87,3,1450178
88,3,1414311
89,3,1411861
90,3,1359760
91,3,1358155
92,3,1346284
93,3,1345762
94,3,1334278
95,3,1323398
96,3,1303704
97,3,1303225
98,3,1294829
99,3,1289722
100,3,1279972
1,2,141200000
2,2,139700000
3,2,89900000
4,2,87700000
5,2,72200000
6,2,68600000
7,2,63400000
8,2,62700000
9,2,58800000
10,2,57400000
11,2,55000000
12,2,53500000
13,2,52800000
14,2,52400000
15,2,51400000
16,2,50400000
17,2,46600000
18,2,44900000
19,2,44200000
20,2,44100000
21,2,43500000
22,2,42500000
23,2,41600000
24,2,41300000
25,2,41200000
26,2,41000000
27,2,41000000
28,2,40700000
29,2,39000000
30,2,38800000
31,2,37000000
32,2,36200000
33,2,36200000
34,2,35700000
35,2,35000000
36,2,34400000
37,2,33400000
38,2,33100000
39,2,32900000
40,2,32400000
41,2,32200000
42,2,32200000
43,2,31900000
44,2,31300000
45,2,31200000
46,2,31200000
47,2,30900000
48,2,30600000
49,2,29700000
50,2,29500000
51,2,29400000
52,2,29200000
53,2,29200000
54,2,29100000
55,2,28800000
56,2,28700000
57,2,28600000
58,2,28400000
59,2,28300000
60,2,28300000
61,2,28100000
62,2,28100000
63,2,28100000
64,2,28100000
65,2,28000000
66,2,27800000
67,2,27700000
68,2,27300000
69,2,27300000
70,2,27300000
71,2,27200000
72,2,26600000
73,2,26400000
74,2,26300000
75,2,26100000
76,2,26000000
77,2,25900000
78,2,25900000
79,2,25700000
80,2,25600000
81,2,25600000
82,2,25500000
83,2,25500000
84,2,25000000
85,2,25000000
86,2,24900000
87,2,24800000
88,2,24700000
89,2,24700000
90,2,24600000
91,2,24500000
92,2,24400000
93,2,24400000
94,2,24300000
95,2,24000000
96,2,24000000
97,2,23700000
98,2,23700000
99,2,23500000
100,2,23400000
